property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
41967,-37.744743,145.089789,266 Banyule Road,VIEWBANK,2434.0,356.0,Banyule,21826.0,77%,"$1,551","$1,147,300",MANNINGHAM,19936,2.091989,36.0,1
34262,-37.70823288,145.0308075,20 Ramleh Road,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20009,1.875398,41.0,1
95916,-37.922896,145.039105,50 Mitchell Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.405943,32.0,1
2259,-37.786052,144.879466,40 Inkerman Street,MAIDSTONE,2995.0,2208.0,Maribyrnong,19978.0,56%,"$1,162","$843,300",BAW BAW,20023,1.828138,15.0,1
72354,-37.852714,145.262163,39 Victoria Road,BAYSWATER,4737.0,3089.0,Knox,19945.0,77%,"$1,186","$865,500",INDIGO,19870,1.330676,41.0,1
51232,-37.791813,145.142634,3/55 Wetherby Road,DONCASTER,7598.0,4243.0,Manningham,17447.0,58%,"$1,242","$1,446,200",MORELAND,19898,3.211831,26.0,1
16956,-37.702346,144.911686,29 Anselm Grove,GLENROY,7882.0,4021.0,Moreland,27707.0,66%,"$1,004","$743,900",WYNDHAM,20032,0.54501,28.0,1
61537,-37.778616,145.239378,20 Little John Road,WARRANWOOD,1338.0,178.0,Maroondah,28808.0,79%,"$1,393","$1,309,600",MACEDON RANGES,19879,3.832552,38.0,1
42892,-37.717361,145.079986,163 Somers Avenue,MACLEOD,3511.0,1718.0,Banyule,12063.0,79%,"$1,458","$1,123,400",WANGARATTA,19984,0.787684,42.0,1
2832,-37.817249,144.871737,14 Bromyard Street,YARRAVILLE,5855.0,2072.0,Maribyrnong,11645.0,67%,"$1,583","$1,148,100",MITCHELL,19996,1.607738,no direct trip is available,0
60526,-37.8423996,145.1846314,18 Ferncroft,VERMONT,3636.0,1030.0,Whitehorse,20802.0,71%,"$1,459","$1,186,300",CENTRAL GOLDFIELDS,19899,2.572991,28.0,1
66702,-37.772712,145.302563,79 Bellara Drive,MOOROOLBARK,7655.0,1413.0,Yarra Ranges,18998.0,80%,"$1,360","$874,500",WEST WIMMERA,19877,1.595237,46.0,1
53746,-37.81389999,145.0038757,77 Buckingham Street,RICHMOND,8875.0,13869.0,Yarra,24112.0,65%,"$1,731","$1,389,100",EAST GIPPSLAND,19977,1.07365,15.0,1
86212,-37.922399,144.9919,16 Stewart Street,BRIGHTON,8625.0,6345.0,Bayside,20135.0,77%,"$2,200","$2,483,600",HUME,19950,0.514755,no direct trip is available,0
29532,-37.766751,144.98831,162A Elm Street,NORTHCOTE,8461.0,5349.0,Darebin,21000.0,69%,"$1,563","$1,630,800",MURRINDINDI,20016,0.704315,28.0,1
74399,-37.881219,145.020235,8/3-5 Gerard Street,CAULFIELD,1723.0,1630.0,Glen Eira,15277.0,61%,"$1,547","$1,704,100",MELTON,19954,1.743892,no direct trip is available,0
60875,-37.832243,145.211295,639 Canterbury Road,VERMONT,3636.0,1030.0,Whitehorse,20802.0,71%,"$1,459","$1,186,300",CENTRAL GOLDFIELDS,19901,1.491601,32.0,1
96175,-37.910582,145.031666,70 McKinnon Road,MCKINNON,1953.0,1107.0,Glen Eira,17630.0,72%,"$1,538","$1,683,800",HORSHAM,19940,0.58334,28.0,1
80433,-38.004325,145.151753,65 The Panorama Drive,KEYSBOROUGH,9761.0,1578.0,Greater Dandenong,16492.0,49%,"$1,253","$1,006,400",KINGSTON,19889,4.543413,42.0,1
40090,-37.69036865,145.047287,22 Penrith Crescent,BUNDOORA,8943.0,3243.0,Whittlesea,24119.0,69%,"$1,172","$876,900",WODONGA,20007,3.114829,46.0,1
40249,-37.67776489,145.0550537,281 McKimmies Rd,BUNDOORA,8943.0,3243.0,Whittlesea,24119.0,69%,"$1,172","$876,900",WODONGA,45795,3.354741,54.0,1
35670,-37.721189,145.00732,846 High Street,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20010,0.479968,40.0,1
21883,-37.752796000000004,144.950893,12 Saunders Street,COBURG,10323.0,4557.0,Moreland,29021.0,63%,"$1,268","$1,129,500",MOONEE VALLEY,19966,0.980182,21.0,1
11948,-37.712191,144.822263,883 Old Calder Highway,KEILOR,2226.0,442.0,Brimbank,6503.0,76%,"$1,541","$1,047,100",ARARAT,20001,3.150713,31.0,1
34145,-37.708708,145.020063,2 Borrie Street,RESERVOIR,16913.0,8713.0,Darebin,45591.0,63%,$972,"$861,800",EAST GIPPSLAND,20009,0.933158,41.0,1
36940,-37.659014,145.025884,17 Supply Drive,EPPING,13368.0,3047.0,Whittlesea,19624.0,73%,"$1,283","$673,200",FRANKSTON,20005,0.826832,51.0,1
22570,-37.737148,144.972611,30 TANDERUM DRIVE,COBURG,10323.0,4557.0,Moreland,29021.0,63%,"$1,268","$1,129,500",MOONEE VALLEY,19964,0.950097,25.0,1
63908,-37.8003006,145.2949677,"20, 354 MT DANDENONG ROAD",CROYDON,9705.0,5573.0,Maroondah,37491.0,81%,"$1,267","$902,900",CARDINIA,19878,1.375054,42.0,1
46761,-37.70336151,145.1657562,19 Woodland Way (Private Road),ELTHAM,6040.0,1782.0,Nillumbik,28827.0,85%,"$1,923","$1,178,700",FRANKSTON,19987,1.944411,52.0,1
70078,-37.872157,145.104565,41 Salisbury Road,ASHWOOD,2378.0,1176.0,Monash,12420.0,73%,"$1,469","$1,436,500",DAREBIN,19840,0.680562,no direct trip is available,0
96550,-37.999755,145.270082,16 MOUNTVIEW AVE,HALLAM,3494.0,1290.0,Casey,9061.0,56%,"$1,156","$724,000",GLEN EIRA,19885,2.002259,50.0,1
31157,-37.75952148,145.024292,339 Rossmoyne Street,THORNBURY,6018.0,4275.0,Darebin,16671.0,63%,"$1,275","$1,361,700",LATROBE,19932,2.124301,29.0,1
49386,-37.807415,145.095227,30 Porter Road,BALWYN,4589.0,2796.0,Boroondara,13849.0,71%,"$1,563","$2,551,100",HOBSONS BAY,19896,1.615185,25.0,1
78793,-37.9379425,145.1479797,2/42 Lewis Street,SPRINGVALE,6280.0,4315.0,Greater Dandenong,18147.0,36%,$884,"$895,800",GREATER BENDIGO,19914,0.805368,33.0,1
41900,-37.729922,145.092949,23 Rockaway Drive,VIEWBANK,2434.0,356.0,Banyule,21826.0,77%,"$1,551","$1,147,300",MANNINGHAM,19983,2.140644,39.0,1
81615,-37.982164,145.23801,1 Privet Court,DOVETON,3150.0,953.0,Casey,9801.0,59%,$819,"$602,200",HINDMARSH,19888,2.629232,46.0,1
54323,-37.821613310000004,145.0443115,26 Malmsbury Street,HAWTHORN,5753.0,11459.0,Boroondara,19166.0,72%,"$1,627","$2,103,800",YARRA,19903,0.160582,14.0,1
48155,-37.807733,145.014258,24 Laver Street,KEW,8044.0,6097.0,Boroondara,21677.0,73%,"$2,022","$2,332,200",SOUTH GIPPSLAND,19905,1.743129,10.0,1
60796,-37.832978,145.201876,5 Erilyn Court,VERMONT,3636.0,1030.0,Whitehorse,20802.0,71%,"$1,459","$1,186,300",CENTRAL GOLDFIELDS,19901,1.83791,32.0,1
